                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.46553,                0.39629,                0.96708,                0.98478,                 0.9996,                0.99136,                0.94806,                0.34186,                 0.2737,                0.80896,             0.00089134,             0.00089134,             0.00089134
                     49,                0.43988,                0.36849,                0.93231,                0.97715,                0.99544,                0.98422,                0.93898,                0.36462,                0.28603,                0.81545,             0.00087484,             0.00087484,             0.00087484
                     50,                0.44406,                0.37069,                0.93439,                0.98165,                      1,                0.98504,                0.94907,                0.33617,                0.27532,                 0.8052,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.4081,                0.35541,                0.92022,                0.97865,                      1,                0.98811,                0.94303,                0.32377,                0.27613,                0.80033,             0.00084184,             0.00084184,             0.00084184
                     52,                0.42867,                0.35795,                0.92996,                0.96315,                 0.8622,                0.89768,                0.85046,                0.35711,                0.31669,                0.80993,             0.00082533,             0.00082533,             0.00082533
                     53,                0.41715,                0.33873,                0.91551,                0.98534,                 0.9911,                0.98707,                0.95396,                0.32734,                0.26679,                0.79985,             0.00080883,             0.00080883,             0.00080883
                     54,                0.42493,                0.36487,                 0.9339,                0.98036,                0.99607,                0.98695,                0.94724,                0.32461,                0.25973,                0.79681,             0.00079233,             0.00079233,             0.00079233
                     55,                0.42981,                0.34893,                0.93253,                0.98732,                0.99464,                0.98673,                0.95427,                0.32162,                0.24575,                 0.7967,             0.00077582,             0.00077582,             0.00077582
                     56,                  0.411,                0.32993,                 0.9208,                0.98617,                0.99898,                0.98757,                0.95285,                 0.3206,                0.25633,                0.79296,             0.00075932,             0.00075932,             0.00075932
                     57,                0.41947,                0.33886,                0.91885,                0.98337,                0.99972,                0.98855,                0.95434,                0.33162,                0.25743,                0.80206,             0.00074282,             0.00074282,             0.00074282
                     58,                0.39714,                0.33251,                0.92137,                0.97966,                      1,                0.98644,                0.95231,                 0.3005,                0.24949,                0.79559,             0.00072631,             0.00072631,             0.00072631
                     59,                0.40968,                0.32722,                0.92119,                0.97039,                0.99264,                0.98665,                0.96194,                0.30298,                0.24685,                0.79039,             0.00070981,             0.00070981,             0.00070981
                     60,                0.41608,                0.34617,                0.93859,                0.96678,                      1,                0.98758,                0.95645,                 0.3017,                0.25325,                0.79009,             0.00069331,             0.00069331,             0.00069331
                     61,                0.42029,                0.33548,                0.93758,                0.98062,                0.99337,                0.98794,                  0.951,                0.30445,                0.24912,                0.79393,              0.0006768,              0.0006768,              0.0006768
                     62,                0.39091,                0.32963,                0.91787,                0.97289,                      1,                0.98627,                0.94995,                 0.3254,                0.25351,                0.79514,              0.0006603,              0.0006603,              0.0006603
                     63,                0.40187,                0.35304,                0.92548,                 0.9857,                      1,                0.98657,                0.95248,                0.32221,                0.24493,                0.79564,              0.0006438,              0.0006438,              0.0006438
                     64,                0.38502,                0.31084,                0.91071,                0.98479,                0.99471,                0.98657,                0.95004,                0.31203,                0.24603,                 0.7928,             0.00062729,             0.00062729,             0.00062729
                     65,                0.40226,                0.34272,                0.91175,                0.98394,                0.99947,                 0.9883,                0.95772,                0.30516,                0.23797,                0.78974,             0.00061079,             0.00061079,             0.00061079
                     66,                0.39283,                0.32045,                0.92157,                0.98556,                0.98936,                0.98854,                0.96545,                0.29666,                0.24106,                0.78742,             0.00059429,             0.00059429,             0.00059429
                     67,                0.38812,                0.32593,                0.90984,                0.98594,                0.99948,                0.98752,                0.95918,                0.29736,                0.23509,                0.78728,             0.00057778,             0.00057778,             0.00057778
                     68,                0.37872,                0.32239,                 0.9158,                0.98706,                      1,                0.98624,                0.95907,                0.29312,                0.23026,                0.79074,             0.00056128,             0.00056128,             0.00056128
                     69,                0.37087,                0.30828,                0.90248,                0.98366,                  0.999,                0.98671,                0.95386,                0.30155,                0.24214,                0.79169,             0.00054478,             0.00054478,             0.00054478
                     70,                0.38458,                0.30809,                0.91225,                0.98558,                0.99985,                0.98518,                0.95987,                0.29451,                 0.2366,                0.78678,             0.00052827,             0.00052827,             0.00052827
                     71,                0.38686,                0.31717,                0.91092,                0.98568,                      1,                 0.9865,                0.96013,                0.29508,                0.22835,                0.78677,             0.00051177,             0.00051177,             0.00051177
                     72,                0.37219,                0.30464,                 0.8995,                0.98521,                0.99911,                0.98622,                 0.9514,                0.30661,                 0.2291,                0.79178,             0.00049527,             0.00049527,             0.00049527
                     73,                0.34655,                0.29439,                0.89496,                0.98217,                      1,                0.98658,                0.95475,                0.30225,                0.22407,                 0.7895,             0.00047876,             0.00047876,             0.00047876
                     74,                0.37361,                 0.3025,                0.91438,                0.98505,                      1,                0.98596,                0.95892,                0.29433,                0.22613,                 0.7845,             0.00046226,             0.00046226,             0.00046226
                     75,                0.34203,                0.29239,                0.88825,                0.98412,                      1,                0.98657,                0.95438,                0.29663,                0.22366,                0.78694,             0.00044576,             0.00044576,             0.00044576
                     76,                0.36303,                0.28901,                0.90446,                0.98337,                 0.9981,                0.98717,                0.95771,                0.30704,                0.22236,                0.78987,             0.00042925,             0.00042925,             0.00042925
